Distance ,Temperature,Red,Green,Blue,Intensity,Lightsetting,Light,Type,Volume
8,26.38,23,28,23,25.9327,Dark,0,Water,250
8,26.38,22,28,23,25.6338,Dark,0,Water,250
8,26.38,22,28,23,25.6338,Dark,0,Water,250
8,26.38,23,28,23,25.9327,Dark,0,Water,250
8,26.38,23,28,23,25.9327,Dark,0,Water,250
8,26.38,23,28,23,25.9327,Dark,0,Water,250
8,26.38,23,28,24,26.0467,Dark,0,Water,250
8,26.38,23,28,23,25.9327,Dark,0,Water,250
8,26.38,23,28,24,26.0467,Dark,0,Water,250
8,26.38,22,28,23,25.6338,Dark,0,Water,250
8,26.38,22,28,23,25.6338,Dark,0,Water,250
8,26.38,23,28,23,25.9327,Dark,0,Water,250
8,26.38,22,28,23,25.6338,Dark,0,Water,250
8,26.38,23,28,23,25.9327,Dark,0,Water,250
8,26.31,22,27,23,25.0468,Dark,0,Water,250
8,26.31,22,28,23,25.6338,Dark,0,Water,250
8,26.31,22,28,23,25.6338,Dark,0,Water,250
8,26.38,22,28,23,25.6338,Dark,0,Water,250
8,26.38,23,28,23,25.9327,Dark,0,Water,250
8,26.38,23,28,24,26.0467,Dark,0,Water,250
8,26.38,23,28,23,25.9327,Dark,0,Water,250
8,26.38,22,27,23,25.0468,Dark,0,Water,250
8,26.38,22,27,23,25.0468,Dark,0,Water,250
8,26.38,22,27,23,25.0468,Dark,0,Water,250
8,26.38,22,27,23,25.0468,Dark,0,Water,250
8,26.38,22,27,23,25.0468,Dark,0,Water,250
8,26.38,22,27,23,25.0468,Dark,0,Water,250
8,26.38,22,27,23,25.0468,Dark,0,Water,250
8,26.38,22,27,23,25.0468,Dark,0,Water,250
8,26.38,22,27,23,25.0468,Dark,0,Water,250
8,26.38,22,27,23,25.0468,Dark,0,Water,250
